开仓点,开仓时间,平仓点,平仓时间,收益,平仓原因
16542.8,2023-01-01,17386.93,2023-01-09,0.0510270329085766,take profit
17375.51,2023-01-09,17201.41,2023-01-09,-0.010019849777071209,stop loss
17220.9,2023-01-10,18250.58,2023-01-12,0.05979246148575279,take profit
18205.76,2023-01-12,17984.09,2023-01-12,-0.012175816884326623,stop loss
18106.73,2023-01-12,19027.18,2023-01-12,0.05083468964302228,take profit
19057.4,2023-01-12,18833.0,2023-01-12,-0.011774953561346325,stop loss
18768.07,2023-01-12,19731.71,2023-01-13,0.05134465078188644,take profit
19768.22,2023-01-13,20914.91,2023-01-14,0.05800674011114802,take profit
21030.24,2023-01-14,20720.98,2023-01-14,-0.014705490759972403,stop loss
20759.47,2023-01-14,20459.99,2023-01-14,-0.014426187181079264,stop loss
20508.05,2023-01-14,20294.6,2023-01-14,-0.010408108035625072,stop loss
20423.01,2023-01-14,21503.42,2023-01-17,0.05290160461166106,take profit
21288.98,2023-01-17,20866.02,2023-01-18,-0.019867555890418383,stop loss
20824.6,2023-01-19,21884.23,2023-01-20,0.050883570392708674,take profit
21848.18,2023-01-20,23036.44,2023-01-21,0.05438713888296409,take profit
23231.18,2023-01-21,22795.32,2023-01-21,-0.0187618536811303,stop loss
22705.29,2023-01-21,22370.74,2023-01-22,-0.014734451751111712,stop loss
